label	x1	x2	x3	doubled	input	d1	d2	d3	norm_only1	norm_only2	norm_only3	j1	j2	j3	elapsed_ms
x1	1	0	0	0	1	0	2	0	0	2	0	0	0	0	166
x1	1	0	0	0	2	0	2	1	0	0	1	0	2	0	139
x1	1	0	0	0	3	0	2	2	0	2	0	0	0	2	129
x1	2	0	0	1	1	0	2	0	0	2	0	0	0	0	126
x1	2	0	0	1	2	0	2	1	0	0	1	0	2	0	129
x1	2	0	0	1	3	0	2	2	0	2	0	0	0	2	124
x2	0	1	0	0	1	2	0	1	2	0	1	0	0	0	132
x2	0	1	0	0	2	0	2	0	0	0	0	0	2	0	101
x2	0	1	0	0	3	2	0	2	2	0	0	0	0	2	114
x2	0	2	0	1	1	2	0	1	2	0	1	0	0	0	134
x2	0	2	0	1	2	0	2	0	0	0	0	0	2	0	105
x2	0	2	0	1	3	2	0	2	2	0	0	0	0	2	130
x3	0	0	1	0	1	2	0	0	2	0	0	0	0	0	209
x3	0	0	1	0	2	0	2	0	0	0	0	0	2	0	140
x3	0	0	1	0	3	1	2	2	1	2	0	0	0	2	211
x3	0	0	2	1	1	2	0	0	2	0	0	0	0	0	177
x3	0	0	2	1	2	0	2	0	0	0	0	0	2	0	135
x3	0	0	2	1	3	1	2	2	1	2	0	0	0	2	183
x1+x2+x3	1	1	1	0	1	0	0	0	0	0	0	0	0	0	162
x1+x2+x3	1	1	1	0	2	2	0	0	2	1	0	0	2	0	169
x1+x2+x3	1	1	1	0	3	0	0	2	0	0	0	0	0	2	170
x1+x2+x3	2	2	2	1	1	0	0	0	0	0	0	0	0	0	149
x1+x2+x3	2	2	2	1	2	2	0	0	2	1	0	0	2	0	151
x1+x2+x3	2	2	2	1	3	0	0	2	0	0	0	0	0	2	188
x1+x2	1	1	0	0	1	0	0	2	0	0	2	0	0	0	123
x1+x2	1	1	0	0	2	1	1	2	1	2	2	0	2	0	156
x1+x2	1	1	0	0	3	0	0	0	0	0	1	0	0	2	148
x1+x2	2	2	0	1	1	0	0	2	0	0	2	0	0	0	125
x1+x2	2	2	0	1	2	1	1	2	1	2	2	0	2	0	117
x1+x2	2	2	0	1	3	0	0	0	0	0	1	0	0	2	114
x1+x3	1	0	1	0	1	2	0	1	2	0	1	0	0	0	146
x1+x3	1	0	1	0	2	2	1	1	2	2	1	0	2	0	196
x1+x3	1	0	1	0	3	2	1	0	2	1	1	0	0	2	173
x1+x3	2	0	2	1	1	2	0	1	2	0	1	0	0	0	152
x1+x3	2	0	2	1	2	2	1	1	2	2	1	0	2	0	179
x1+x3	2	0	2	1	3	2	1	0	2	1	1	0	0	2	161
