label	x1	x2	x3	doubled	input	d1	d2	d3	norm_only1	norm_only2	norm_only3	j1	j2	j3	elapsed_ms
x1	1	0	0	0	1	2	1	1	0	1	1	2	0	0	166
x1	1	0	0	0	2	0	0	0	0	2	0	0	1	0	31
x1	1	0	0	0	3	0	2	2	0	2	1	0	0	1	26
x1	2	0	0	1	1	2	1	1	0	1	1	2	0	0	21
x1	2	0	0	1	2	0	0	0	0	2	0	0	1	0	158
x1	2	0	0	1	3	0	2	2	0	2	1	0	0	1	21
x2	0	1	0	0	1	0	0	2	1	0	2	2	0	0	119
x2	0	1	0	0	2	1	1	1	1	0	1	0	1	0	130
x2	0	1	0	0	3	0	0	0	0	0	2	0	0	1	136
x2	0	2	0	1	1	0	0	2	1	0	2	2	0	0	114
x2	0	2	0	1	2	1	1	1	1	0	1	0	1	0	91
x2	0	2	0	1	3	0	0	0	0	0	2	0	0	1	150
x3	0	0	1	0	1	0	2	0	1	2	0	2	0	0	98
x3	0	0	1	0	2	2	1	0	2	0	0	0	1	0	98
x3	0	0	1	0	3	2	0	1	2	0	0	0	0	1	107
x3	0	0	2	1	1	0	2	0	1	2	0	2	0	0	127
x3	0	0	2	1	2	2	1	0	2	0	0	0	1	0	125
x3	0	0	2	1	3	2	0	1	2	0	0	0	0	1	129
x1+x2+x3	1	1	1	0	1	0	2	0	1	2	0	2	0	0	144
x1+x2+x3	1	1	1	0	2	2	0	2	2	2	2	0	1	0	86
x1+x2+x3	1	1	1	0	3	2	0	2	2	0	1	0	0	1	95
x1+x2+x3	2	2	2	1	1	0	2	0	1	2	0	2	0	0	111
x1+x2+x3	2	2	2	1	2	2	0	2	2	2	2	0	1	0	104
x1+x2+x3	2	2	2	1	3	2	0	2	2	0	1	0	0	1	35
x1+x2	1	1	0	0	1	1	1	2	2	1	2	2	0	0	193
x1+x2	1	1	0	0	2	1	0	2	1	2	2	0	1	0	178
x1+x2	1	1	0	0	3	1	2	0	1	2	2	0	0	1	162
x1+x2	2	2	0	1	1	1	1	2	2	1	2	2	0	0	147
x1+x2	2	2	0	1	2	1	0	2	1	2	2	0	1	0	170
x1+x2	2	2	0	1	3	1	2	0	1	2	2	0	0	1	42
x1+x3	1	0	1	0	1	1	1	1	2	1	1	2	0	0	141
x1+x3	1	0	1	0	2	2	1	1	2	0	1	0	1	0	153
x1+x3	1	0	1	0	3	0	0	1	0	0	0	0	0	1	128
x1+x3	2	0	2	1	1	1	1	1	2	1	1	2	0	0	150
x1+x3	2	0	2	1	2	2	1	1	2	0	1	0	1	0	168
x1+x3	2	0	2	1	3	0	0	1	0	0	0	0	0	1	135
