label	x1	x2	x3	doubled	input	d1	d2	d3	norm_only1	norm_only2	norm_only3	j1	j2	j3	elapsed_ms
x1	1	0	0	0	1	2	1	1	0	1	1	2	0	0	66
x1	1	0	0	0	2	0	2	0	0	0	0	0	2	0	49
x1	1	0	0	0	3	0	1	2	0	1	1	0	0	1	82
x1	2	0	0	1	1	2	1	1	0	1	1	2	0	0	54
x1	2	0	0	1	2	0	2	0	0	0	0	0	2	0	49
x1	2	0	0	1	3	0	1	2	0	1	1	0	0	1	65
x2	0	1	0	0	1	0	0	0	1	0	0	2	0	0	83
x2	0	1	0	0	2	1	2	2	1	0	2	0	2	0	89
x2	0	1	0	0	3	0	0	2	0	0	1	0	0	1	91
x2	0	2	0	1	1	0	0	0	1	0	0	2	0	0	84
x2	0	2	0	1	2	1	2	2	1	0	2	0	2	0	89
x2	0	2	0	1	3	0	0	2	0	0	1	0	0	1	90
x3	0	0	1	0	1	2	1	0	0	1	0	2	0	0	67
x3	0	0	1	0	2	1	1	0	1	2	0	0	2	0	69
x3	0	0	1	0	3	0	2	1	0	2	0	0	0	1	46
x3	0	0	2	1	1	2	1	0	0	1	0	2	0	0	66
x3	0	0	2	1	2	1	1	0	1	2	0	0	2	0	50
x3	0	0	2	1	3	0	2	1	0	2	0	0	0	1	46
x1+x2+x3	1	1	1	0	1	0	2	0	1	2	0	2	0	0	114
x1+x2+x3	1	1	1	0	2	1	2	2	1	0	2	0	2	0	129
x1+x2+x3	1	1	1	0	3	2	0	2	2	0	1	0	0	1	124
x1+x2+x3	2	2	2	1	1	0	2	0	1	2	0	2	0	0	117
x1+x2+x3	2	2	2	1	2	1	2	2	1	0	2	0	2	0	129
x1+x2+x3	2	2	2	1	3	2	0	2	2	0	1	0	0	1	102
x1+x2	1	1	0	0	1	1	1	0	2	1	0	2	0	0	145
x1+x2	1	1	0	0	2	2	0	1	2	1	1	0	2	0	135
x1+x2	1	1	0	0	3	2	1	0	2	1	2	0	0	1	146
x1+x2	2	2	0	1	1	1	1	0	2	1	0	2	0	0	148
x1+x2	2	2	0	1	2	2	0	1	2	1	1	0	2	0	138
x1+x2	2	2	0	1	3	2	1	0	2	1	2	0	0	1	147
x1+x3	1	0	1	0	1	0	2	2	1	2	2	2	0	0	89
x1+x3	1	0	1	0	2	1	0	2	1	1	2	0	2	0	90
x1+x3	1	0	1	0	3	1	2	0	1	2	2	0	0	1	86
x1+x3	2	0	2	1	1	0	2	2	1	2	2	2	0	0	89
x1+x3	2	0	2	1	2	1	0	2	1	1	2	0	2	0	87
x1+x3	2	0	2	1	3	1	2	0	1	2	2	0	0	1	86
