label	x1	x2	x3	doubled	input	d1	d2	d3	norm_only1	norm_only2	norm_only3	j1	j2	j3	elapsed_ms
x1	1	0	0	0	1	0	2	2	0	2	2	0	0	0	88
x1	1	0	0	0	2	0	1	1	0	0	1	0	1	0	95
x1	1	0	0	0	3	0	0	1	0	0	0	0	0	1	72
x1	2	0	0	1	1	0	2	2	0	2	2	0	0	0	90
x1	2	0	0	1	2	0	1	1	0	0	1	0	1	0	93
x1	2	0	0	1	3	0	0	1	0	0	0	0	0	1	73
x2	0	1	0	0	1	0	0	2	0	0	2	0	0	0	89
x2	0	1	0	0	2	1	1	2	1	0	2	0	1	0	72
x2	0	1	0	0	3	1	0	2	1	0	1	0	0	1	81
x2	0	2	0	1	1	0	0	2	0	0	2	0	0	0	75
x2	0	2	0	1	2	1	1	2	1	0	2	0	1	0	92
x2	0	2	0	1	3	1	0	2	1	0	1	0	0	1	91
x3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	31
x3	0	0	1	0	2	2	0	0	2	2	0	0	1	0	42
x3	0	0	1	0	3	0	1	1	0	1	0	0	0	1	43
x3	0	0	2	1	1	0	0	0	0	0	0	0	0	0	31
x3	0	0	2	1	2	2	0	0	2	2	0	0	1	0	46
x3	0	0	2	1	3	0	1	1	0	1	0	0	0	1	45
x1+x2+x3	1	1	1	0	1	0	2	1	0	2	1	0	0	0	19
x1+x2+x3	1	1	1	0	2	2	0	2	2	2	2	0	1	0	88
x1+x2+x3	1	1	1	0	3	2	2	0	2	2	2	0	0	1	90
x1+x2+x3	2	2	2	1	1	0	2	1	0	2	1	0	0	0	94
x1+x2+x3	2	2	2	1	2	2	0	2	2	2	2	0	1	0	93
x1+x2+x3	2	2	2	1	3	2	2	0	2	2	2	0	0	1	92
x1+x2	1	1	0	0	1	1	2	1	1	2	1	0	0	0	126
x1+x2	1	1	0	0	2	0	1	1	0	0	1	0	1	0	136
x1+x2	1	1	0	0	3	1	2	0	1	2	2	0	0	1	136
x1+x2	2	2	0	1	1	1	2	1	1	2	1	0	0	0	117
x1+x2	2	2	0	1	2	0	1	1	0	0	1	0	1	0	118
x1+x2	2	2	0	1	3	1	2	0	1	2	2	0	0	1	135
x1+x3	1	0	1	0	1	1	1	2	1	1	2	0	0	0	73
x1+x3	1	0	1	0	2	1	2	2	1	1	2	0	1	0	96
x1+x3	1	0	1	0	3	2	2	2	2	2	1	0	0	1	94
x1+x3	2	0	2	1	1	1	1	2	1	1	2	0	0	0	94
x1+x3	2	0	2	1	2	1	2	2	1	1	2	0	1	0	69
x1+x3	2	0	2	1	3	2	2	2	2	2	1	0	0	1	94
