label	x1	x2	x3	doubled	input	d1	d2	d3	norm_only1	norm_only2	norm_only3	j1	j2	j3	elapsed_ms
x1	1	0	0	0	1	0	0	2	0	0	2	0	0	0	123
x1	1	0	0	0	2	0	0	2	0	1	2	0	2	0	126
x1	1	0	0	0	3	0	2	2	0	2	1	0	0	1	127
x1	2	0	0	1	1	0	0	2	0	0	2	0	0	0	123
x1	2	0	0	1	2	0	0	2	0	1	2	0	2	0	125
x1	2	0	0	1	3	0	2	2	0	2	1	0	0	1	126
x2	0	1	0	0	1	2	0	1	2	0	1	0	0	0	83
x2	0	1	0	0	2	2	2	2	2	0	2	0	2	0	83
x2	0	1	0	0	3	2	0	0	2	0	2	0	0	1	84
x2	0	2	0	1	1	2	0	1	2	0	1	0	0	0	83
x2	0	2	0	1	2	2	2	2	2	0	2	0	2	0	84
x2	0	2	0	1	3	2	0	0	2	0	2	0	0	1	83
x3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	46
x3	0	0	1	0	2	2	1	0	2	2	0	0	2	0	55
x3	0	0	1	0	3	0	0	1	0	0	0	0	0	1	31
x3	0	0	2	1	1	0	0	0	0	0	0	0	0	0	46
x3	0	0	2	1	2	2	1	0	2	2	0	0	2	0	61
x3	0	0	2	1	3	0	0	1	0	0	0	0	0	1	31
x1+x2+x3	1	1	1	0	1	1	1	1	1	1	1	0	0	0	23
x1+x2+x3	1	1	1	0	2	1	0	1	1	1	1	0	2	0	80
x1+x2+x3	1	1	1	0	3	0	0	1	0	0	0	0	0	1	80
x1+x2+x3	2	2	2	1	1	1	1	1	1	1	1	0	0	0	22
x1+x2+x3	2	2	2	1	2	1	0	1	1	1	1	0	2	0	79
x1+x2+x3	2	2	2	1	3	0	0	1	0	0	0	0	0	1	69
x1+x2	1	1	0	0	1	2	1	1	2	1	1	0	0	0	112
x1+x2	1	1	0	0	2	2	0	1	2	1	1	0	2	0	111
x1+x2	1	1	0	0	3	0	0	0	0	0	2	0	0	1	110
x1+x2	2	2	0	1	1	2	1	1	2	1	1	0	0	0	104
x1+x2	2	2	0	1	2	2	0	1	2	1	1	0	2	0	103
x1+x2	2	2	0	1	3	0	0	0	0	0	2	0	0	1	110
x1+x3	1	0	1	0	1	1	1	2	1	1	2	0	0	0	130
x1+x3	1	0	1	0	2	0	2	0	0	0	0	0	2	0	118
x1+x3	1	0	1	0	3	1	2	0	1	2	2	0	0	1	127
x1+x3	2	0	2	1	1	1	1	2	1	1	2	0	0	0	127
x1+x3	2	0	2	1	2	0	2	0	0	0	0	0	2	0	119
x1+x3	2	0	2	1	3	1	2	0	1	2	2	0	0	1	126
