label	x1	x2	x3	doubled	input	d1	d2	d3	norm_only1	norm_only2	norm_only3	j1	j2	j3	elapsed_ms
x1	1	0	0	0	1	1	1	2	0	1	2	1	0	0	153
x1	1	0	0	0	2	0	2	0	0	0	0	0	2	0	137
x1	1	0	0	0	3	0	2	0	0	2	2	0	0	1	189
x1	2	0	0	1	1	1	1	2	0	1	2	1	0	0	148
x1	2	0	0	1	2	0	2	0	0	0	0	0	2	0	137
x1	2	0	0	1	3	0	2	0	0	2	2	0	0	1	163
x2	0	1	0	0	1	0	0	2	2	0	2	1	0	0	188
x2	0	1	0	0	2	0	2	0	0	0	0	0	2	0	162
x2	0	1	0	0	3	2	0	0	2	0	2	0	0	1	120
x2	0	2	0	1	1	0	0	2	2	0	2	1	0	0	171
x2	0	2	0	1	2	0	2	0	0	0	0	0	2	0	165
x2	0	2	0	1	3	2	0	0	2	0	2	0	0	1	106
x3	0	0	1	0	1	2	0	0	1	0	0	1	0	0	123
x3	0	0	1	0	2	0	2	0	0	0	0	0	2	0	117
x3	0	0	1	0	3	1	1	1	1	1	0	0	0	1	115
x3	0	0	2	1	1	2	0	0	1	0	0	1	0	0	128
x3	0	0	2	1	2	0	2	0	0	0	0	0	2	0	116
x3	0	0	2	1	3	1	1	1	1	1	0	0	0	1	117
x1+x2+x3	1	1	1	0	1	0	1	0	2	1	0	1	0	0	37
x1+x2+x3	1	1	1	0	2	1	1	0	1	2	0	0	2	0	171
x1+x2+x3	1	1	1	0	3	0	0	1	0	0	0	0	0	1	189
x1+x2+x3	2	2	2	1	1	0	1	0	2	1	0	1	0	0	38
x1+x2+x3	2	2	2	1	2	1	1	0	1	2	0	0	2	0	33
x1+x2+x3	2	2	2	1	3	0	0	1	0	0	0	0	0	1	40
x1+x2	1	1	0	0	1	0	1	2	2	1	2	1	0	0	199
x1+x2	1	1	0	0	2	1	1	2	1	2	2	0	2	0	118
x1+x2	1	1	0	0	3	0	0	2	0	0	1	0	0	1	217
x1+x2	2	2	0	1	1	0	1	2	2	1	2	1	0	0	238
x1+x2	2	2	0	1	2	1	1	2	1	2	2	0	2	0	100
x1+x2	2	2	0	1	3	0	0	2	0	0	1	0	0	1	215
x1+x3	1	0	1	0	1	1	0	0	0	0	0	1	0	0	120
x1+x3	1	0	1	0	2	0	2	0	0	0	0	0	2	0	24
x1+x3	1	0	1	0	3	1	2	0	1	2	2	0	0	1	149
x1+x3	2	0	2	1	1	1	0	0	0	0	0	1	0	0	140
x1+x3	2	0	2	1	2	0	2	0	0	0	0	0	2	0	134
x1+x3	2	0	2	1	3	1	2	0	1	2	2	0	0	1	139
