label	x1	x2	x3	doubled	input	d1	d2	d3	norm_only1	norm_only2	norm_only3	j1	j2	j3	elapsed_ms
x1	1	0	0	0	1	1	2	0	0	2	0	1	0	0	128
x1	1	0	0	0	2	0	0	2	0	2	2	0	1	0	129
x1	1	0	0	0	3	0	2	0	0	2	2	0	0	1	129
x1	2	0	0	1	1	1	2	0	0	2	0	1	0	0	128
x1	2	0	0	1	2	0	0	2	0	2	2	0	1	0	113
x1	2	0	0	1	3	0	2	0	0	2	2	0	0	1	126
x2	0	1	0	0	1	2	0	2	1	0	2	1	0	0	40
x2	0	1	0	0	2	1	1	1	1	0	1	0	1	0	42
x2	0	1	0	0	3	1	0	2	1	0	1	0	0	1	43
x2	0	2	0	1	1	2	0	2	1	0	2	1	0	0	40
x2	0	2	0	1	2	1	1	1	1	0	1	0	1	0	43
x2	0	2	0	1	3	1	0	2	1	0	1	0	0	1	42
x3	0	0	1	0	1	0	2	0	2	2	0	1	0	0	91
x3	0	0	1	0	2	0	0	0	0	2	0	0	1	0	83
x3	0	0	1	0	3	2	1	1	2	1	0	0	0	1	88
x3	0	0	2	1	1	0	2	0	2	2	0	1	0	0	92
x3	0	0	2	1	2	0	0	0	0	2	0	0	1	0	84
x3	0	0	2	1	3	2	1	1	2	1	0	0	0	1	91
x1+x2+x3	1	1	1	0	1	0	1	0	2	1	0	1	0	0	178
x1+x2+x3	1	1	1	0	2	0	0	1	0	2	1	0	1	0	165
x1+x2+x3	1	1	1	0	3	1	0	0	1	0	2	0	0	1	127
x1+x2+x3	2	2	2	1	1	0	1	0	2	1	0	1	0	0	175
x1+x2+x3	2	2	2	1	2	0	0	1	0	2	1	0	1	0	169
x1+x2+x3	2	2	2	1	3	1	0	0	1	0	2	0	0	1	173
x1+x2	1	1	0	0	1	1	0	2	0	0	2	1	0	0	129
x1+x2	1	1	0	0	2	1	0	1	1	2	1	0	1	0	130
x1+x2	1	1	0	0	3	2	1	2	2	1	1	0	0	1	128
x1+x2	2	2	0	1	1	1	0	2	0	0	2	1	0	0	129
x1+x2	2	2	0	1	2	1	0	1	1	2	1	0	1	0	129
x1+x2	2	2	0	1	3	2	1	2	2	1	1	0	0	1	128
x1+x3	1	0	1	0	1	1	2	0	0	2	0	1	0	0	217
x1+x3	1	0	1	0	2	1	1	2	1	0	2	0	1	0	231
x1+x3	1	0	1	0	3	2	0	2	2	0	1	0	0	1	94
x1+x3	2	0	2	1	1	1	2	0	0	2	0	1	0	0	232
x1+x3	2	0	2	1	2	1	1	2	1	0	2	0	1	0	229
x1+x3	2	0	2	1	3	2	0	2	2	0	1	0	0	1	229
