label	x1	x2	x3	doubled	input	d1	d2	d3	norm_only1	norm_only2	norm_only3	j1	j2	j3	elapsed_ms
x1	1	0	0	0	1	0	0	2	0	0	2	0	0	0	117
x1	1	0	0	0	2	0	1	1	0	0	1	0	1	0	102
x1	1	0	0	0	3	0	1	0	0	1	1	0	0	2	82
x1	2	0	0	1	1	0	0	2	0	0	2	0	0	0	135
x1	2	0	0	1	2	0	1	1	0	0	1	0	1	0	141
x1	2	0	0	1	3	0	1	0	0	1	1	0	0	2	158
x2	0	1	0	0	1	1	0	1	1	0	1	0	0	0	178
x2	0	1	0	0	2	1	1	2	1	0	2	0	1	0	148
x2	0	1	0	0	3	0	0	2	0	0	0	0	0	2	9
x2	0	2	0	1	1	1	0	1	1	0	1	0	0	0	188
x2	0	2	0	1	2	1	1	2	1	0	2	0	1	0	149
x2	0	2	0	1	3	0	0	2	0	0	0	0	0	2	10
x3	0	0	1	0	1	1	0	0	1	0	0	0	0	0	158
x3	0	0	1	0	2	0	0	0	0	2	0	0	1	0	130
x3	0	0	1	0	3	0	1	2	0	1	0	0	0	2	153
x3	0	0	2	1	1	1	0	0	1	0	0	0	0	0	146
x3	0	0	2	1	2	0	0	0	0	2	0	0	1	0	157
x3	0	0	2	1	3	0	1	2	0	1	0	0	0	2	171
x1+x2+x3	1	1	1	0	1	2	2	2	2	2	2	0	0	0	167
x1+x2+x3	1	1	1	0	2	2	1	1	2	0	1	0	1	0	161
x1+x2+x3	1	1	1	0	3	1	0	1	1	0	2	0	0	2	155
x1+x2+x3	2	2	2	1	1	2	2	2	2	2	2	0	0	0	167
x1+x2+x3	2	2	2	1	2	2	1	1	2	0	1	0	1	0	158
x1+x2+x3	2	2	2	1	3	1	0	1	1	0	2	0	0	2	177
x1+x2	1	1	0	0	1	1	2	0	1	2	0	0	0	0	275
x1+x2	1	1	0	0	2	0	1	1	0	0	1	0	1	0	219
x1+x2	1	1	0	0	3	2	1	0	2	1	1	0	0	2	265
x1+x2	2	2	0	1	1	1	2	0	1	2	0	0	0	0	225
x1+x2	2	2	0	1	2	0	1	1	0	0	1	0	1	0	215
x1+x2	2	2	0	1	3	2	1	0	2	1	1	0	0	2	251
x1+x3	1	0	1	0	1	2	1	1	2	1	1	0	0	0	134
x1+x3	1	0	1	0	2	2	0	1	2	2	1	0	1	0	132
x1+x3	1	0	1	0	3	0	2	2	0	2	0	0	0	2	144
x1+x3	2	0	2	1	1	2	1	1	2	1	1	0	0	0	136
x1+x3	2	0	2	1	2	2	0	1	2	2	1	0	1	0	147
x1+x3	2	0	2	1	3	0	2	2	0	2	0	0	0	2	156
